Monday Tuesday
1 4.32 3.08
2 3.7 2.44
3 3.4 2.85
4 3.36 1.88
5 3.27 3.38
6 4.47 1.88
7 3.15 2.59
8 2.85 1.7
9 3.5 2.34
10 3.05 2.86
11 3.9 3.15
12 3.68 2.97
13 3.01 2.38
14 2.91 3.11
15 2.89 2.44
16 3.35 2.69
17 3.06 2.55
18 3.33 2.18
19 3.37 2.97
20 2 2.79
21 4.24 2.17
22 2.95 1.88
23 2.71 2.48
24 3.32 2.06
