formation content
Carbonate 34.78
Carbonate 36.08
Carbonate 41.72
Carbonate 39.33
Carbonate 42.5
Carbonate 39.1
Silicate 46.43
Silicate 42.76
Silicate 45.1
Silicate 36.65
Silicate 35.91
Silicate 41.96
Magnetite 35.67
Magnetite 32.43
Magnetite 26.54
Magnetite 39.92
Magnetite 35.25
Magnetite 29.84
Hematite 22.89
Hematite 27.69
Hematite 31.32
Hematite 33.64
Hematite 24.88
Hematite 30.21
